timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
1784664070.808000,-11.61,22.38,12.00,5.18,13.57,3.59,1.76,-3.99,6.24,9.81,5.20,15.21,15.42,-0.31,-16.37,-21.55
1784664070.812000,-65.88,31.83,0.45,-1.15,7.33,10.54,-7.67,-4.41,0.57,21.43,5.93,0.82,8.48,-5.45,-18.66,-42.45
1784664070.812000,-50.16,32.50,-3.73,-10.06,3.70,13.88,-8.87,9.95,-4.34,30.35,8.20,2.09,5.66,2.76,-20.57,-18.16
1784664070.923000,46.92,23.34,5.68,-7.29,8.40,10.75,1.81,28.36,-1.30,30.81,9.26,17.27,8.81,14.83,-20.30,21.18
1784664070.923000,149.93,13.84,18.70,5.91,17.01,5.53,15.23,32.81,7.08,23.16,7.97,29.67,12.32,17.75,-17.73,33.34
1784664070.926000,173.20,10.55,23.49,17.76,22.15,2.88,19.64,24.95,13.68,15.47,6.66,30.47,11.98,12.24,-14.27,15.42
1784664070.926000,117.71,12.05,18.90,21.99,21.85,2.87,13.69,22.16,15.32,14.39,8.08,24.86,9.14,9.59,-11.04,-5.18
1784664070.930000,60.52,16.30,11.76,21.53,17.62,3.84,6.26,30.13,12.57,17.09,11.71,17.35,5.95,14.16,-8.15,-16.06
1784664070.930000,54.32,23.97,7.71,19.08,9.85,5.75,4.50,35.74,5.96,17.77,14.98,6.15,2.31,18.55,-5.81,-25.50
1784664070.933000,74.64,32.35,7.67,12.77,0.48,9.12,6.60,29.88,-2.66,17.88,16.86,-5.57,-0.85,16.85,-4.90,-30.68
1784664070.933000,85.26,33.70,11.18,3.52,-3.90,12.45,8.34,21.81,-7.70,22.53,18.24,-6.45,-0.18,13.48,-5.54,-14.42
1784664070.972000,104.19,24.19,18.01,-0.82,2.15,13.17,10.84,22.45,-4.00,29.48,19.60,8.27,5.69,14.38,-6.00,21.75
1784664070.972000,163.31,10.22,25.48,6.09,15.05,10.90,17.00,25.89,6.68,29.09,19.61,26.35,12.98,16.71,-4.45,49.07
1784664071.041000,250.00,1.89,29.37,19.70,23.67,7.89,25.61,17.90,16.55,16.00,16.69,29.64,15.50,13.15,-1.47,45.79
1784664071.041000,324.62,3.55,28.72,27.34,19.10,6.72,33.13,-4.13,19.27,-3.14,11.39,12.40,10.12,2.41,0.56,20.33
1784664071.103000,361.00,10.96,25.52,20.31,2.75,8.42,37.36,-27.43,14.84,-14.41,6.86,-12.77,-0.04,-9.15,0.23,-5.20
1784664071.103000,351.51,14.86,21.25,3.82,-13.66,11.79,37.16,-37.12,7.85,-9.05,6.02,-24.72,-6.81,-14.32,-1.34,-16.56
1784664071.106000,298.10,9.06,16.76,-6.40,-17.37,14.41,31.69,-29.34,3.15,7.63,8.38,-12.54,-3.59,-11.04,-1.84,-10.90
1784664071.106000,207.38,-2.05,11.98,-0.09,-6.45,14.76,21.02,-12.89,2.42,20.13,10.32,12.19,7.36,-2.97,-0.12,2.72
1784664071.109000,88.95,-6.99,4.66,16.14,8.08,13.59,6.48,0.08,2.73,17.60,8.95,25.70,16.01,4.34,2.78,6.97
1784664071.109000,-27.09,-0.56,-5.41,27.12,14.22,12.45,-7.85,5.94,0.27,4.46,5.15,17.40,15.16,8.69,5.25,-4.85
